Np-ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.9536037893,1.953601349
16,33554432,536870912,1.9316184561999996,1.9316175274000003
32,16777216,536870912,1.9596069641000002,1.9596038524000001
64,8388608,536870912,1.9227552187999997,1.9227530723999997
128,4194304,536870912,1.7484823158,1.7484782185
256,2097152,536870912,1.8478546339000002,1.8478453315999999
512,1048576,536870912,1.7169046092000002,1.7168866451
1024,524288,536870912,1.7917356934999997,1.7917022997
2048,262144,536870912,1.7077644222,1.7076969769
4096,131072,536870912,1.730515751,1.7303833892
8192,65536,536870912,1.7718958974000003,1.7716144757000003
16384,32768,536870912,1.7185342446,1.717972203
32768,16384,536870912,1.7719543082000002,1.7707010689000005
65536,8192,536870912,1.7127088394999999,1.7103425394000003
131072,4096,536870912,1.8195376175,1.8148361062000002
262144,2048,536870912,1.7480830950000001,1.7377980913000002
524288,1024,536870912,1.7485318293999998,1.7309427942
1048576,512,536870912,1.8704701808,1.8361765977000002
2097152,256,536870912,1.9087213522,1.8397528445999995
4194304,128,536870912,1.9733886069999997,1.8371274272
8388608,64,536870912,2.1014970623,1.8296866613000002
16777216,32,536870912,2.3669914787999997,1.8246427387999997
33554432,16,536870912,2.9049242986,1.8219130878999998
67108864,8,536870912,3.9856592017000003,1.820554656
134217728,4,536870912,6.1481410231,1.8196843307000001
268435456,2,536870912,10.526859636899998,1.8696231595000001
536870912,1,536870912,19.1891347457,1.8691664075999999
