Np-ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.7201779930999996,1.7201755521000002
16,33554432,536870912,1.6577867791000003,1.6577857664
32,16777216,536870912,1.8156300793,1.8156271539000002
64,8388608,536870912,1.7133174379,1.7133153828999999
128,4194304,536870912,1.6735966589,1.6735928381999998
256,2097152,536870912,1.6596959739000003,1.6596868335999997
512,1048576,536870912,1.6523973254000002,1.6523803375
1024,524288,536870912,1.6316443828,1.631611702
2048,262144,536870912,1.6299534621,1.6298881284999998
4096,131072,536870912,1.6463499286999999,1.6462145835000002
8192,65536,536870912,1.6507347395,1.6504563607000002
16384,32768,536870912,1.6634096824,1.6628361341000002
32768,16384,536870912,1.6463141239999999,1.6451514304
65536,8192,536870912,1.6401853548000003,1.6379081284
131072,4096,536870912,1.6400907692,1.6354777196
262144,2048,536870912,1.6450067582999999,1.6359374532999997
524288,1024,536870912,1.6568448508,1.6396251858
1048576,512,536870912,1.7077681484,1.6742743695000002
2097152,256,536870912,1.8313723282,1.7646651143
4194304,128,536870912,1.8615997644,1.7295496139000002
8388608,64,536870912,1.9916931756,1.7289401336
16777216,32,536870912,2.251059958,1.7273784275000001
33554432,16,536870912,2.7724299767,1.7266071624000001
67108864,8,536870912,3.8174617382,1.7268435141
134217728,4,536870912,5.9067996350000005,1.7271465303
268435456,2,536870912,10.132234253399998,1.7532757222000002
536870912,1,536870912,18.493918249400004,1.7388287921
