Np-ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.6075316842000005,2.6075289413
16,33554432,536870912,2.3303304222,2.3303294880000003
32,16777216,536870912,2.3177781812999996,2.3177747711999994
64,8388608,536870912,2.2977074991,2.2977052729
128,4194304,536870912,2.2091702879,2.2091662859
256,2097152,536870912,2.1899939508000004,2.1899847051999997
512,1048576,536870912,2.2227620289,2.2227446249
1024,524288,536870912,2.2433101977999996,2.2432773814
2048,262144,536870912,2.2311040991,2.2310371366000004
4096,131072,536870912,2.2335684464000005,2.2334326621
8192,65536,536870912,2.2270618444,2.2267996523999996
16384,32768,536870912,2.1624937359999996,2.1619474254999997
32768,16384,536870912,2.1705135385,2.1692865094
65536,8192,536870912,2.1491082128000003,2.1468185918000002
131072,4096,536870912,2.1676980528,2.1631060992
262144,2048,536870912,2.187012021,2.1778722617
524288,1024,536870912,2.2335724812,2.2156275978
1048576,512,536870912,2.3422500909,2.3088498849
2097152,256,536870912,2.3686665106,2.3019652594
4194304,128,536870912,2.4298862044,2.2970742922
8388608,64,536870912,2.5606285966,2.2955905953999998
16777216,32,536870912,2.8220373736999997,2.2932286014000005
33554432,16,536870912,3.3398208216999996,2.2838141970000003
67108864,8,536870912,4.50096738,2.3894100505
134217728,4,536870912,6.5931891445,2.3556583992
268435456,2,536870912,10.727793526300001,2.2862305342000004
536870912,1,536870912,19.2334886497,2.3376033197000003
