ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.003408409,1.003405970
16,33554432,536870912,0.925238502,0.925237186
32,16777216,536870912,0.921829540,0.921827606
64,8388608,536870912,0.824428407,0.824422189
128,4194304,536870912,0.759908817,0.759899813
256,2097152,536870912,0.666047361,0.666033776
512,1048576,536870912,0.655586944,0.655565703
1024,524288,536870912,0.644033130,0.643991998
2048,262144,536870912,0.635981062,0.635898883
4096,131072,536870912,0.653532539,0.653365791
8192,65536,536870912,0.637554297,0.637232632
16384,32768,536870912,0.635837350,0.635172021
32768,16384,536870912,0.639059327,0.637737214
65536,8192,536870912,0.650552701,0.647655400
131072,4096,536870912,0.654583846,0.649230426
262144,2048,536870912,0.672943120,0.662432942
524288,1024,536870912,0.724820790,0.703016632
1048576,512,536870912,0.836326428,0.793655871
2097152,256,536870912,1.029744362,0.941013389
4194304,128,536870912,1.201191341,1.028723749
8388608,64,536870912,1.428351900,1.077777753
16777216,32,536870912,1.749790073,1.065868178
33554432,16,536870912,2.425049901,1.058948754
67108864,8,536870912,3.783564822,1.051705643
134217728,4,536870912,6.493793756,1.045938979
268435456,2,536870912,11.937659288,1.043313232
536870912,1,536870912,75.130748983,52.907282612
