ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.007329342,1.007327438
16,33554432,536870912,0.917988302,0.917986962
32,16777216,536870912,0.923022955,0.923021107
64,8388608,536870912,0.823732817,0.823727130
128,4194304,536870912,0.774095861,0.774088731
256,2097152,536870912,0.676477869,0.676464760
512,1048576,536870912,0.651248752,0.651227590
1024,524288,536870912,0.653654403,0.653610541
2048,262144,536870912,0.649758821,0.649677323
4096,131072,536870912,0.637001810,0.636838520
8192,65536,536870912,0.637550128,0.637226031
16384,32768,536870912,0.640188418,0.639538205
32768,16384,536870912,0.645343744,0.644012189
65536,8192,536870912,0.659444211,0.656755447
131072,4096,536870912,0.657645306,0.652294576
262144,2048,536870912,0.668335944,0.657929427
524288,1024,536870912,0.704842573,0.683854971
1048576,512,536870912,0.848481972,0.806322640
2097152,256,536870912,1.037372997,0.952784629
4194304,128,536870912,1.216403807,1.045060365
8388608,64,536870912,1.422372077,1.081285669
16777216,32,536870912,1.741988405,1.060721178
33554432,16,536870912,2.426366714,1.061003970
67108864,8,536870912,3.802066317,1.062455288
134217728,4,536870912,6.490845050,1.046114225
268435456,2,536870912,11.914334787,1.040982287
536870912,1,536870912,75.760601327,53.339538071
