ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.029207830,1.029205231
16,33554432,536870912,0.933330924,0.933329524
32,16777216,536870912,0.933013942,0.933012053
64,8388608,536870912,0.841432111,0.841425911
128,4194304,536870912,0.767992520,0.767984886
256,2097152,536870912,0.677001960,0.676989484
512,1048576,536870912,0.658263757,0.658242116
1024,524288,536870912,0.736542973,0.736501049
2048,262144,536870912,0.632520294,0.632435724
4096,131072,536870912,0.632842952,0.632678735
8192,65536,536870912,0.633545648,0.633224713
16384,32768,536870912,0.643161963,0.642490236
32768,16384,536870912,0.654345929,0.653005589
65536,8192,536870912,0.657523778,0.654858475
131072,4096,536870912,0.662622152,0.657225299
262144,2048,536870912,0.674844704,0.664204724
524288,1024,536870912,0.724086751,0.702668880
1048576,512,536870912,0.825799855,0.782253472
2097152,256,536870912,1.026421402,0.939192215
4194304,128,536870912,1.190941188,1.015841564
8388608,64,536870912,1.428287203,1.076418264
16777216,32,536870912,1.743896798,1.061337456
33554432,16,536870912,2.418752960,1.055726326
67108864,8,536870912,3.778828113,1.052259839
134217728,4,536870912,6.489840117,1.043583032
268435456,2,536870912,11.919539405,1.039983664
536870912,1,536870912,77.428474710,55.026034539
