ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.014259996,1.014257849
16,33554432,536870912,0.953243058,0.953241537
32,16777216,536870912,0.950645874,0.950643804
64,8388608,536870912,0.842296121,0.842289308
128,4194304,536870912,0.755162058,0.755154180
256,2097152,536870912,0.668571403,0.668557899
512,1048576,536870912,0.673493420,0.673472126
1024,524288,536870912,0.651206262,0.651163870
2048,262144,536870912,0.644248407,0.644164669
4096,131072,536870912,0.645081592,0.644911270
8192,65536,536870912,0.639046186,0.638715636
16384,32768,536870912,0.631448407,0.630808079
32768,16384,536870912,0.649665415,0.648322049
65536,8192,536870912,0.651817177,0.649177332
131072,4096,536870912,0.656986969,0.651715744
262144,2048,536870912,0.684415182,0.673544296
524288,1024,536870912,0.779515221,0.758076845
1048576,512,536870912,0.893639632,0.849614332
2097152,256,536870912,1.101725256,1.012624663
4194304,128,536870912,1.241028367,1.067299834
8388608,64,536870912,1.436834576,1.091301174
16777216,32,536870912,1.764707142,1.075095061
33554432,16,536870912,2.457922068,1.068750272
67108864,8,536870912,3.842022282,1.066473593
134217728,4,536870912,6.581150725,1.083166911
268435456,2,536870912,12.001147660,1.054234913
536870912,1,536870912,77.155472782,54.703443894
