Nx,Ny,Points,Iter,Interp,Mover,Total
250,100,100,1,0.000000,0.000000,0.000000
250,100,100,2,0.000000,0.000000,0.000000
250,100,100,3,0.000000,0.000000,0.000000
250,100,100,4,0.000000,0.000000,0.000000
250,100,100,5,0.000000,0.000000,0.000000
250,100,100,6,0.000000,0.000000,0.000000
250,100,100,7,0.000000,0.000000,0.000000
250,100,100,8,0.000000,0.000000,0.000000
250,100,100,9,0.000000,0.000000,0.000000
250,100,100,10,0.000000,0.000000,0.000000
250,100,100,Total,,,0.000000
250,100,10000,1,0.000000,0.000000,0.000000
250,100,10000,2,0.000000,0.000000,0.000000
250,100,10000,3,0.000000,0.000000,0.000000
250,100,10000,4,0.000000,0.000000,0.000000
250,100,10000,5,0.000000,0.000000,0.000000
250,100,10000,6,0.000000,0.000000,0.000000
250,100,10000,7,0.000000,0.000000,0.000000
250,100,10000,8,0.000000,0.000000,0.000000
250,100,10000,9,0.000000,0.000000,0.000000
250,100,10000,10,0.000000,0.000000,0.000000
250,100,10000,Total,,,0.000000
250,100,1000000,1,0.030000,0.000000,0.030000
250,100,1000000,2,0.020000,0.000000,0.020000
250,100,1000000,3,0.020000,0.000000,0.020000
250,100,1000000,4,0.020000,0.000000,0.020000
250,100,1000000,5,0.020000,0.000000,0.020000
250,100,1000000,6,0.020000,0.000000,0.020000
250,100,1000000,7,0.030000,0.000000,0.030000
250,100,1000000,8,0.020000,0.000000,0.020000
250,100,1000000,9,0.020000,0.000000,0.020000
250,100,1000000,10,0.020000,0.000000,0.020000
250,100,1000000,Total,,,0.220000
250,100,100000000,1,2.170000,0.000000,2.170000
250,100,100000000,2,2.170000,0.000000,2.170000
250,100,100000000,3,2.170000,0.000000,2.170000
250,100,100000000,4,2.160000,0.000000,2.160000
250,100,100000000,5,2.170000,0.000000,2.170000
250,100,100000000,6,2.160000,0.000000,2.160000
250,100,100000000,7,2.170000,0.000000,2.170000
250,100,100000000,8,2.160000,0.000000,2.160000
250,100,100000000,9,2.170000,0.000000,2.170000
250,100,100000000,10,2.160000,0.000000,2.160000
250,100,100000000,Total,,,21.660000
250,100,1000000000,1,21.730000,0.000000,21.730000
250,100,1000000000,2,21.700000,0.000000,21.700000
250,100,1000000000,3,21.710000,0.000000,21.710000
250,100,1000000000,4,21.700000,0.000000,21.700000
250,100,1000000000,5,21.670000,0.000000,21.670000
250,100,1000000000,6,21.700000,0.000000,21.700000
250,100,1000000000,7,21.690000,0.000000,21.690000
250,100,1000000000,8,21.690000,0.000000,21.690000
250,100,1000000000,9,21.690000,0.000000,21.690000
250,100,1000000000,10,21.680000,0.000000,21.680000
250,100,1000000000,Total,,,216.960000
500,200,100,1,0.000000,0.000000,0.000000
500,200,100,2,0.000000,0.000000,0.000000
500,200,100,3,0.000000,0.000000,0.000000
500,200,100,4,0.000000,0.000000,0.000000
500,200,100,5,0.000000,0.000000,0.000000
500,200,100,6,0.000000,0.000000,0.000000
500,200,100,7,0.000000,0.000000,0.000000
500,200,100,8,0.000000,0.000000,0.000000
500,200,100,9,0.000000,0.000000,0.000000
500,200,100,10,0.000000,0.000000,0.000000
500,200,100,Total,,,0.000000
500,200,10000,1,0.000000,0.000000,0.000000
500,200,10000,2,0.000000,0.000000,0.000000
500,200,10000,3,0.000000,0.000000,0.000000
500,200,10000,4,0.000000,0.000000,0.000000
500,200,10000,5,0.000000,0.000000,0.000000
500,200,10000,6,0.000000,0.000000,0.000000
500,200,10000,7,0.000000,0.000000,0.000000
500,200,10000,8,0.000000,0.000000,0.000000
500,200,10000,9,0.000000,0.000000,0.000000
500,200,10000,10,0.000000,0.000000,0.000000
