Nx,Ny,Points,Iter,Interp,Mover,Total
250,100,100,1,0.000083,0.000000,0.000083
250,100,100,2,0.000001,0.000000,0.000001
250,100,100,3,0.000001,0.000000,0.000001
250,100,100,4,0.000001,0.000000,0.000001
250,100,100,5,0.000001,0.000000,0.000001
250,100,100,6,0.000001,0.000000,0.000001
250,100,100,7,0.000001,0.000000,0.000001
250,100,100,8,0.000001,0.000000,0.000001
250,100,100,9,0.000001,0.000000,0.000001
250,100,100,10,0.000001,0.000000,0.000001
250,100,100,Total,,,0.000092
250,100,10000,1,0.000110,0.000000,0.000110
250,100,10000,2,0.000084,0.000000,0.000084
250,100,10000,3,0.000085,0.000000,0.000085
250,100,10000,4,0.000084,0.000000,0.000084
250,100,10000,5,0.000085,0.000000,0.000085
250,100,10000,6,0.000085,0.000000,0.000085
250,100,10000,7,0.000084,0.000000,0.000084
250,100,10000,8,0.000084,0.000000,0.000084
250,100,10000,9,0.000085,0.000000,0.000085
250,100,10000,10,0.000084,0.000000,0.000084
250,100,10000,Total,,,0.000870
250,100,1000000,1,0.012322,0.000000,0.012322
250,100,1000000,2,0.010093,0.000000,0.010093
250,100,1000000,3,0.012816,0.000000,0.012816
250,100,1000000,4,0.009252,0.000000,0.009252
250,100,1000000,5,0.009120,0.000000,0.009120
250,100,1000000,6,0.012939,0.000000,0.012939
250,100,1000000,7,0.009848,0.000000,0.009848
250,100,1000000,8,0.008754,0.000000,0.008754
250,100,1000000,9,0.012206,0.000000,0.012206
250,100,1000000,10,0.011034,0.000000,0.011034
250,100,1000000,Total,,,0.108384
250,100,100000000,1,0.785863,0.000000,0.785863
250,100,100000000,2,0.783572,0.000000,0.783572
250,100,100000000,3,0.778397,0.000000,0.778397
250,100,100000000,4,0.781306,0.000000,0.781306
250,100,100000000,5,0.788752,0.000000,0.788752
250,100,100000000,6,0.777389,0.000000,0.777389
250,100,100000000,7,0.795120,0.000000,0.795120
250,100,100000000,8,0.781953,0.000000,0.781953
250,100,100000000,9,0.790673,0.000000,0.790673
250,100,100000000,10,0.779871,0.000000,0.779871
250,100,100000000,Total,,,7.842896
250,100,1000000000,1,18.321827,0.000000,18.321827
250,100,1000000000,2,15.846754,0.000000,15.846754
250,100,1000000000,3,14.287065,0.000000,14.287065
250,100,1000000000,4,13.122782,0.000000,13.122782
250,100,1000000000,5,13.846527,0.000000,13.846527
250,100,1000000000,6,13.318986,0.000000,13.318986
250,100,1000000000,7,13.165377,0.000000,13.165377
250,100,1000000000,8,12.683115,0.000000,12.683115
250,100,1000000000,9,14.184330,0.000000,14.184330
250,100,1000000000,10,13.819085,0.000000,13.819085
250,100,1000000000,Total,,,142.595848
500,200,100,1,0.000100,0.000000,0.000100
500,200,100,2,0.000001,0.000000,0.000001
500,200,100,3,0.000001,0.000000,0.000001
500,200,100,4,0.000001,0.000000,0.000001
500,200,100,5,0.000001,0.000000,0.000001
500,200,100,6,0.000001,0.000000,0.000001
500,200,100,7,0.000001,0.000000,0.000001
500,200,100,8,0.000001,0.000000,0.000001
500,200,100,9,0.000001,0.000000,0.000001
500,200,100,10,0.000001,0.000000,0.000001
500,200,100,Total,,,0.000109
500,200,10000,1,0.000097,0.000000,0.000097
500,200,10000,2,0.000088,0.000000,0.000088
500,200,10000,3,0.000088,0.000000,0.000088
500,200,10000,4,0.000092,0.000000,0.000092
500,200,10000,5,0.000097,0.000000,0.000097
500,200,10000,6,0.000088,0.000000,0.000088
500,200,10000,7,0.000088,0.000000,0.000088
500,200,10000,8,0.000088,0.000000,0.000088
500,200,10000,9,0.000088,0.000000,0.000088
500,200,10000,10,0.000088,0.000000,0.000088
500,200,10000,Total,,,0.000902
500,200,1000000,1,0.009097,0.000000,0.009097
500,200,1000000,2,0.011089,0.000000,0.011089
500,200,1000000,3,0.011950,0.000000,0.011950
500,200,1000000,4,0.008848,0.000000,0.008848
500,200,1000000,5,0.009469,0.000000,0.009469
500,200,1000000,6,0.008951,0.000000,0.008951
500,200,1000000,7,0.011762,0.000000,0.011762
500,200,1000000,8,0.011808,0.000000,0.011808
500,200,1000000,9,0.008914,0.000000,0.008914
500,200,1000000,10,0.011074,0.000000,0.011074
500,200,1000000,Total,,,0.102962
500,200,100000000,1,0.869339,0.000000,0.869339
500,200,100000000,2,0.806318,0.000000,0.806318
500,200,100000000,3,0.839293,0.000000,0.839293
500,200,100000000,4,0.833083,0.000000,0.833083
500,200,100000000,5,0.925288,0.000000,0.925288
500,200,100000000,6,0.877405,0.000000,0.877405
500,200,100000000,7,0.819382,0.000000,0.819382
500,200,100000000,8,0.807834,0.000000,0.807834
500,200,100000000,9,0.811499,0.000000,0.811499
500,200,100000000,10,0.810298,0.000000,0.810298
500,200,100000000,Total,,,8.399739
500,200,1000000000,1,17.222406,0.000000,17.222406
500,200,1000000000,2,16.503748,0.000000,16.503748
500,200,1000000000,3,14.240380,0.000000,14.240380
500,200,1000000000,4,11.215882,0.000000,11.215882
500,200,1000000000,5,11.355330,0.000000,11.355330
500,200,1000000000,6,13.451327,0.000000,13.451327
500,200,1000000000,7,11.329111,0.000000,11.329111
500,200,1000000000,8,13.009708,0.000000,13.009708
500,200,1000000000,9,12.895876,0.000000,12.895876
500,200,1000000000,10,13.575316,0.000000,13.575316
500,200,1000000000,Total,,,134.799084
1000,400,100,1,0.000005,0.000000,0.000005
1000,400,100,2,0.000001,0.000000,0.000001
1000,400,100,3,0.000001,0.000000,0.000001
