Nx,Ny,Points,Iter,Interp,Mover,Total
1000,400,14000000,1,0.350000,0.520000,0.870000
1000,400,14000000,2,0.360000,0.510000,0.870000
1000,400,14000000,3,0.360000,0.520000,0.880000
1000,400,14000000,4,0.360000,0.530000,0.890000
1000,400,14000000,5,0.360000,0.520000,0.880000
1000,400,14000000,6,0.370000,0.520000,0.890000
1000,400,14000000,7,0.370000,0.520000,0.890000
1000,400,14000000,8,0.370000,0.520000,0.890000
1000,400,14000000,9,0.370000,0.520000,0.890000
1000,400,14000000,10,0.360000,0.530000,0.890000
1000,400,14000000,Total,,,8.840000
