Nx,Ny,Points,Iter,Interp,Mover,Total
1000,400,14000000,1,0.186942,0.139400,0.326342
1000,400,14000000,2,0.226645,0.128812,0.355457
1000,400,14000000,3,0.221054,0.138335,0.359389
1000,400,14000000,4,0.223617,0.137249,0.360866
1000,400,14000000,5,0.226316,0.132651,0.358967
1000,400,14000000,6,0.225297,0.130892,0.356189
1000,400,14000000,7,0.221406,0.131801,0.353207
1000,400,14000000,8,0.228282,0.132595,0.360877
1000,400,14000000,9,0.226081,0.132861,0.358942
1000,400,14000000,10,0.221598,0.131621,0.353219
1000,400,14000000,Total,,,3.543455
