Nx,Ny,Points,Iter,Interp,Mover,Total
1000,400,14000000,1,0.360000,0.340000,0.700000
1000,400,14000000,2,0.360000,0.340000,0.700000
1000,400,14000000,3,0.360000,0.340000,0.700000
1000,400,14000000,4,0.360000,0.340000,0.700000
1000,400,14000000,5,0.370000,0.340000,0.710000
1000,400,14000000,6,0.360000,0.340000,0.700000
1000,400,14000000,7,0.360000,0.340000,0.700000
1000,400,14000000,8,0.360000,0.340000,0.700000
1000,400,14000000,9,0.370000,0.340000,0.710000
1000,400,14000000,10,0.360000,0.340000,0.700000
1000,400,14000000,Total,,,7.020000
