Nx,Ny,Points,Iter,Interp,Mover,Total
1000,400,14000000,1,0.186074,0.341432,0.527506
1000,400,14000000,2,0.185775,0.335943,0.521718
1000,400,14000000,3,0.187653,0.339050,0.526703
1000,400,14000000,4,0.187292,0.335563,0.522855
1000,400,14000000,5,0.184690,0.337845,0.522535
1000,400,14000000,6,0.183719,0.337836,0.521555
1000,400,14000000,7,0.183826,0.336518,0.520344
1000,400,14000000,8,0.184829,0.340092,0.524921
1000,400,14000000,9,0.192567,0.343374,0.535941
1000,400,14000000,10,0.187359,0.342599,0.529958
1000,400,14000000,Total,,,5.254036
