Grid_X,Grid_Y,Total_Points,Iter,Interp,Mover,Total
,,,1,0.0,0.0,0.0
,,,2,0.0,0.0,0.0
,,,3,0.0,0.0,0.0
,,,4,0.0,0.0,0.0
,,,5,0.0,0.0,0.0
,,,6,0.0,0.0,0.0
,,,7,0.0,0.0,0.0
,,,8,0.0,0.0,0.0
,,,9,0.0,0.0,0.0
,,,10,0.0,0.0,0.0
,,,1,0.001,0.0,0.001
,,,2,0.0,0.0,0.0
,,,3,0.001,0.0,0.001
,,,4,0.0,0.0,0.0
,,,5,0.0,0.0,0.0
,,,6,0.0,0.0,0.0
,,,7,0.0,0.001,0.001
,,,8,0.002,0.0,0.002
,,,9,0.0,0.0,0.0
,,,10,0.0,0.0,0.0
,,,1,0.01,0.012,0.022
,,,2,0.011,0.012,0.023
,,,3,0.011,0.012,0.023
,,,4,0.012,0.01,0.022
,,,5,0.013,0.011,0.024
,,,6,0.019,0.013,0.032
,,,7,0.01,0.013,0.023
,,,8,0.011,0.014,0.025
,,,9,0.012,0.011,0.023
,,,10,0.01,0.013,0.023
,,,1,1.364,1.361,2.725
,,,2,1.525,1.261,2.786
,,,3,1.164,1.281,2.445
,,,4,1.19,1.165,2.355
,,,5,1.167,1.266,2.433
,,,6,1.173,1.208,2.381
,,,7,1.19,1.304,2.494
,,,8,1.213,1.368,2.581
,,,9,1.814,2.01,3.824
,,,10,2.024,2.118,4.142
,,,1,0.0,0.0,0.0
,,,2,0.0,0.0,0.0
,,,3,0.0,0.0,0.0
,,,4,0.0,0.0,0.0
,,,5,0.0,0.0,0.0
,,,6,0.0,0.0,0.0
,,,7,0.0,0.0,0.0
,,,8,0.0,0.0,0.0
,,,9,0.0,0.0,0.0
,,,10,0.0,0.0,0.0
,,,1,0.0,0.0,0.0
,,,2,0.0,0.0,0.0
,,,3,0.0,0.001,0.001
,,,4,0.0,0.0,0.0
,,,5,0.0,0.0,0.0
,,,6,0.001,0.0,0.001
,,,7,0.0,0.0,0.0
,,,8,0.0,0.0,0.0
,,,9,0.0,0.0,0.0
,,,10,0.0,0.001,0.001
,,,1,0.023,0.019,0.042
,,,2,0.022,0.018,0.04
,,,3,0.023,0.018,0.041
,,,4,0.022,0.019,0.041
,,,5,0.023,0.018,0.041
,,,6,0.021,0.021,0.042
,,,7,0.026,0.025,0.051
,,,8,0.023,0.019,0.042
,,,9,0.021,0.019,0.04
,,,10,0.021,0.018,0.039
,,,1,2.459,2.09,4.549
,,,2,2.362,1.99,4.352
,,,3,2.693,2.565,5.258
,,,4,2.525,2.493,5.018
,,,5,2.526,2.636,5.162
,,,6,2.737,2.685,5.422
,,,7,2.491,2.286,4.777
,,,8,1.173,1.355,2.528
,,,9,2.462,2.312,4.774
,,,10,2.473,1.198,3.671
,,,1,0.0,0.0,0.0
,,,2,0.0,0.0,0.0
,,,3,0.0,0.0,0.0
,,,4,0.0,0.0,0.0
,,,5,0.0,0.0,0.0
,,,6,0.0,0.0,0.0
,,,7,0.0,0.0,0.0
,,,8,0.0,0.0,0.0
,,,9,0.0,0.0,0.0
,,,10,0.0,0.0,0.0
,,,1,0.001,0.0,0.001
,,,2,0.0,0.001,0.001
,,,3,0.0,0.0,0.0
,,,4,0.001,0.0,0.001
,,,5,0.0,0.0,0.0
,,,6,0.001,0.0,0.001
,,,7,0.001,0.0,0.001
,,,8,0.001,0.0,0.001
,,,9,0.001,0.0,0.001
,,,10,0.0,0.0,0.0
,,,1,0.016,0.012,0.028
,,,2,0.019,0.016,0.035
,,,3,0.015,0.013,0.028
,,,4,0.022,0.012,0.034
,,,5,0.016,0.014,0.03
,,,6,0.025,0.013,0.038
,,,7,0.022,0.014,0.036
,,,8,0.015,0.01,0.025
,,,9,0.015,0.012,0.027
,,,10,0.019,0.013,0.032
,,,1,1.563,1.202,2.765
,,,2,1.672,1.191,2.863
,,,3,1.495,1.208,2.703
,,,4,1.609,1.186,2.795
,,,5,1.552,1.169,2.721
,,,6,1.546,1.164,2.71
,,,7,1.548,1.286,2.834
,,,8,1.827,2.233,4.06
,,,9,4.04,2.268,6.308
,,,10,1.85,1.758,3.608
