Grid_X,Grid_Y,Total_Points,Iter,Interp,Mover,Total
250,100,100,1,0.0,0.0,0.0
250,100,100,2,0.0,0.0,0.0
250,100,100,3,0.0,0.0,0.0
250,100,100,4,0.0,0.0,0.0
250,100,100,5,0.0,0.0,0.0
250,100,100,6,0.0,0.0,0.0
250,100,100,7,0.0,0.0,0.0
250,100,100,8,0.0,0.0,0.0
250,100,100,9,0.0,0.0,0.0
250,100,100,10,0.0,0.0,0.0
250,100,10000,1,0.0,0.0,0.0
250,100,10000,2,0.0,0.0,0.0
250,100,10000,3,0.0,0.0,0.0
250,100,10000,4,0.0,0.0,0.0
250,100,10000,5,0.0,0.0,0.0
250,100,10000,6,0.0,0.01,0.01
250,100,10000,7,0.0,0.0,0.0
250,100,10000,8,0.0,0.0,0.0
250,100,10000,9,0.0,0.0,0.0
250,100,10000,10,0.0,0.0,0.0
250,100,1000000,1,0.02,0.03,0.05
250,100,1000000,2,0.02,0.03,0.05
250,100,1000000,3,0.03,0.02,0.05
250,100,1000000,4,0.03,0.03,0.06
250,100,1000000,5,0.02,0.03,0.05
250,100,1000000,6,0.02,0.03,0.05
250,100,1000000,7,0.02,0.03,0.05
250,100,1000000,8,0.02,0.03,0.05
250,100,1000000,9,0.02,0.03,0.05
250,100,1000000,10,0.02,0.03,0.05
250,100,100000000,1,2.17,2.95,5.12
250,100,100000000,2,2.17,2.93,5.1
250,100,100000000,3,2.17,2.93,5.1
250,100,100000000,4,2.17,2.92,5.09
250,100,100000000,5,2.19,2.92,5.11
250,100,100000000,6,2.17,2.92,5.09
250,100,100000000,7,2.17,2.92,5.09
250,100,100000000,8,2.17,2.93,5.1
250,100,100000000,9,2.17,2.92,5.09
250,100,100000000,10,2.17,2.92,5.09
250,100,1000000000,1,21.71,29.69,51.4
250,100,1000000000,2,21.71,29.7,51.41
250,100,1000000000,3,21.82,29.56,51.38
250,100,1000000000,4,21.7,29.58,51.28
250,100,1000000000,5,21.69,29.52,51.21
250,100,1000000000,6,21.76,29.51,51.27
250,100,1000000000,7,21.78,29.61,51.39
250,100,1000000000,8,21.91,29.76,51.67
250,100,1000000000,9,21.96,31.33,53.29
250,100,1000000000,10,23.08,31.34,54.42
500,200,100,1,0.0,0.0,0.0
500,200,100,2,0.0,0.0,0.0
500,200,100,3,0.0,0.0,0.0
500,200,100,4,0.0,0.0,0.0
500,200,100,5,0.0,0.0,0.0
500,200,100,6,0.0,0.0,0.0
500,200,100,7,0.0,0.0,0.0
500,200,100,8,0.0,0.0,0.0
500,200,100,9,0.0,0.0,0.0
500,200,100,10,0.0,0.0,0.0
500,200,10000,1,0.0,0.0,0.0
500,200,10000,2,0.0,0.0,0.0
500,200,10000,3,0.0,0.0,0.0
500,200,10000,4,0.0,0.0,0.0
500,200,10000,5,0.0,0.0,0.0
500,200,10000,6,0.0,0.0,0.0
500,200,10000,7,0.0,0.0,0.0
500,200,10000,8,0.0,0.0,0.0
500,200,10000,9,0.0,0.0,0.0
500,200,10000,10,0.0,0.0,0.0
500,200,1000000,1,0.03,0.03,0.06
500,200,1000000,2,0.02,0.03,0.05
500,200,1000000,3,0.03,0.02,0.05
500,200,1000000,4,0.03,0.03,0.06
500,200,1000000,5,0.02,0.03,0.05
500,200,1000000,6,0.03,0.03,0.06
500,200,1000000,7,0.02,0.03,0.05
500,200,1000000,8,0.02,0.03,0.05
