Grid_X,Grid_Y,Total_Points,Threads,Iter,Interp,Mover,Total
250,100,14000000,1,1,0.304508,0.317791,0.622299
250,100,14000000,1,2,0.30465,0.316087,0.620737
250,100,14000000,1,3,0.30531,0.315607,0.620917
250,100,14000000,1,4,0.304967,0.315913,0.62088
250,100,14000000,1,5,0.304626,0.315681,0.620308
250,100,14000000,1,6,0.304991,0.315016,0.620007
250,100,14000000,1,7,0.304459,0.315916,0.620375
250,100,14000000,1,8,0.304378,0.316036,0.620414
250,100,14000000,1,9,0.304159,0.315475,0.619634
250,100,14000000,1,10,0.30409,0.3149,0.61899
250,100,14000000,2,1,0.304678,0.197881,0.502559
250,100,14000000,2,2,0.30443,0.197627,0.502057
250,100,14000000,2,3,0.304544,0.196905,0.50145
250,100,14000000,2,4,0.304469,0.196907,0.501376
250,100,14000000,2,5,0.30458,0.196453,0.501034
250,100,14000000,2,6,0.304562,0.196926,0.501488
250,100,14000000,2,7,0.304319,0.19621,0.500529
250,100,14000000,2,8,0.304282,0.196611,0.500894
250,100,14000000,2,9,0.304179,0.196175,0.500353
250,100,14000000,2,10,0.304181,0.196889,0.501069
250,100,14000000,4,1,0.305631,0.133526,0.439157
250,100,14000000,4,2,0.304861,0.132262,0.437123
250,100,14000000,4,3,0.304546,0.132086,0.436632
250,100,14000000,4,4,0.305222,0.131977,0.437199
250,100,14000000,4,5,0.30454,0.131861,0.436402
250,100,14000000,4,6,0.305118,0.131923,0.437041
250,100,14000000,4,7,0.304357,0.131817,0.436174
250,100,14000000,4,8,0.304888,0.131585,0.436474
250,100,14000000,4,9,0.304312,0.131749,0.436061
250,100,14000000,4,10,0.304293,0.132133,0.436426
250,100,14000000,8,1,0.304552,0.100597,0.40515
250,100,14000000,8,2,0.305297,0.100513,0.40581
250,100,14000000,8,3,0.304776,0.100151,0.404927
250,100,14000000,8,4,0.304604,0.100133,0.404737
250,100,14000000,8,5,0.304363,0.099895,0.404258
250,100,14000000,8,6,0.304773,0.099966,0.404739
250,100,14000000,8,7,0.304999,0.099797,0.404796
250,100,14000000,8,8,0.304308,0.099899,0.404207
250,100,14000000,8,9,0.30451,0.099885,0.404394
250,100,14000000,8,10,0.304582,0.099791,0.404373
250,100,14000000,16,1,0.305217,0.103536,0.408753
250,100,14000000,16,2,0.304322,0.099288,0.40361
250,100,14000000,16,3,0.304753,0.09898,0.403733
