=====================================================
Nx : 250, Ny : 100, Points : 14000000
=====================================================

Threads: 1
Iter    Interp          Mover           Total
1       0.304508        0.317791        0.622299
2       0.304650        0.316087        0.620737
3       0.305310        0.315607        0.620917
4       0.304967        0.315913        0.620880
5       0.304626        0.315681        0.620308
6       0.304991        0.315016        0.620007
7       0.304459        0.315916        0.620375
8       0.304378        0.316036        0.620414
9       0.304159        0.315475        0.619634
10      0.304090        0.314900        0.618990

=====================================================
Total : 6.204561
=====================================================

=====================================================
Nx : 250, Ny : 100, Points : 14000000
=====================================================

Threads: 2
Iter    Interp          Mover           Total
1       0.304678        0.197881        0.502559
2       0.304430        0.197627        0.502057
3       0.304544        0.196905        0.501450
4       0.304469        0.196907        0.501376
5       0.304580        0.196453        0.501034
6       0.304562        0.196926        0.501488
7       0.304319        0.196210        0.500529
8       0.304282        0.196611        0.500894
9       0.304179        0.196175        0.500353
10      0.304181        0.196889        0.501069

=====================================================
Total : 5.012809
=====================================================

=====================================================
Nx : 250, Ny : 100, Points : 14000000
=====================================================

Threads: 4
Iter    Interp          Mover           Total
1       0.305631        0.133526        0.439157
2       0.304861        0.132262        0.437123
3       0.304546        0.132086        0.436632
4       0.305222        0.131977        0.437199
5       0.304540        0.131861        0.436402
6       0.305118        0.131923        0.437041
7       0.304357        0.131817        0.436174
8       0.304888        0.131585        0.436474
9       0.304312        0.131749        0.436061
10      0.304293        0.132133        0.436426

=====================================================
Total : 4.368688
=====================================================

=====================================================
Nx : 250, Ny : 100, Points : 14000000
=====================================================

Threads: 8
Iter    Interp          Mover           Total
1       0.304552        0.100597        0.405150
2       0.305297        0.100513        0.405810
3       0.304776        0.100151        0.404927
4       0.304604        0.100133        0.404737
5       0.304363        0.099895        0.404258
6       0.304773        0.099966        0.404739
7       0.304999        0.099797        0.404796
8       0.304308        0.099899        0.404207
9       0.304510        0.099885        0.404394
10      0.304582        0.099791        0.404373

=====================================================
Total : 4.047391
=====================================================

=====================================================
Nx : 250, Ny : 100, Points : 14000000
=====================================================

Threads: 16
Iter    Interp          Mover           Total
1       0.305217        0.103536        0.408753
2       0.304322        0.099288        0.403610
3       0.304753        0.098980        0.403733
4       0.304176        0.099306        0.403482
5       0.304363        0.099566        0.403929
6       0.304194        0.099593        0.403787
7       0.304386        0.096141        0.400527
8       0.304685        0.099348        0.404033
9       0.303550        0.099325        0.402875
10      0.303259        0.099479        0.402739

=====================================================
Total : 4.037468
=====================================================

=====================================================
Nx : 500, Ny : 200, Points : 14000000
=====================================================

Threads: 1
Iter    Interp          Mover           Total
1       0.344452        0.315002        0.659453
2       0.335679        0.313946        0.649625
3       0.336279        0.313418        0.649697
4       0.335790        0.313997        0.649787
5       0.336133        0.313516        0.649648
6       0.336253        0.313171        0.649424
7       0.335769        0.313891        0.649660
8       0.335493        0.313088        0.648581
9       0.336461        0.312890        0.649351
10      0.335628        0.313589        0.649217

=====================================================
Total : 6.504445
=====================================================

=====================================================
