Grid_X,Grid_Y,Total_Points,Threads,Iter,Interp,Mover,Total
250,100,14000000,2,1,0.153,0.132,0.285
250,100,14000000,2,2,0.146,0.135,0.281
250,100,14000000,2,3,0.144,0.13,0.274
250,100,14000000,2,4,0.144,0.133,0.277
250,100,14000000,2,5,0.139,0.13,0.269
250,100,14000000,2,6,0.156,0.129,0.285
250,100,14000000,2,7,0.154,0.124,0.278
250,100,14000000,2,8,0.169,0.127,0.296
250,100,14000000,2,9,0.154,0.131,0.285
250,100,14000000,2,10,0.197,0.135,0.332
250,100,14000000,4,1,0.147,0.096,0.243
250,100,14000000,4,2,0.152,0.082,0.234
250,100,14000000,4,3,0.163,0.082,0.245
250,100,14000000,4,4,0.157,0.084,0.241
250,100,14000000,4,5,0.153,0.101,0.254
250,100,14000000,4,6,0.154,0.078,0.232
250,100,14000000,4,7,0.152,0.076,0.228
250,100,14000000,4,8,0.175,0.081,0.256
250,100,14000000,4,9,0.154,0.087,0.241
250,100,14000000,4,10,0.157,0.069,0.226
250,100,14000000,8,1,0.16,0.054,0.214
250,100,14000000,8,2,0.149,0.075,0.224
250,100,14000000,8,3,0.147,0.057,0.204
250,100,14000000,8,4,0.166,0.09,0.256
250,100,14000000,8,5,0.143,0.055,0.198
250,100,14000000,8,6,0.171,0.057,0.228
250,100,14000000,8,7,0.147,0.055,0.202
250,100,14000000,8,8,0.156,0.063,0.219
250,100,14000000,8,9,0.145,0.056,0.201
250,100,14000000,8,10,0.146,0.061,0.207
250,100,14000000,16,1,0.154,0.047,0.201
250,100,14000000,16,2,0.146,0.054,0.2
250,100,14000000,16,3,0.148,0.041,0.189
250,100,14000000,16,4,0.152,0.04,0.192
250,100,14000000,16,5,0.147,0.049,0.196
250,100,14000000,16,6,0.15,0.046,0.196
250,100,14000000,16,7,0.171,0.052,0.223
250,100,14000000,16,8,0.145,0.051,0.196
250,100,14000000,16,9,0.149,0.047,0.196
250,100,14000000,16,10,0.148,0.052,0.2
500,200,14000000,2,1,0.157,0.134,0.291
500,200,14000000,2,2,0.182,0.142,0.324
500,200,14000000,2,3,0.207,0.176,0.383
500,200,14000000,2,4,0.165,0.149,0.314
500,200,14000000,2,5,0.18,0.165,0.345
500,200,14000000,2,6,0.203,0.16,0.363
500,200,14000000,2,7,0.147,0.131,0.278
500,200,14000000,2,8,0.154,0.132,0.286
500,200,14000000,2,9,0.152,0.133,0.285
500,200,14000000,2,10,0.149,0.147,0.296
500,200,14000000,4,1,0.158,0.082,0.24
500,200,14000000,4,2,0.155,0.081,0.236
500,200,14000000,4,3,0.153,0.075,0.228
500,200,14000000,4,4,0.162,0.09,0.252
500,200,14000000,4,5,0.157,0.096,0.253
500,200,14000000,4,6,0.154,0.083,0.237
500,200,14000000,4,7,0.151,0.081,0.232
500,200,14000000,4,8,0.158,0.075,0.233
500,200,14000000,4,9,0.152,0.069,0.221
500,200,14000000,4,10,0.15,0.075,0.225
500,200,14000000,8,1,0.157,0.059,0.216
500,200,14000000,8,2,0.161,0.078,0.239
500,200,14000000,8,3,0.149,0.053,0.202
500,200,14000000,8,4,0.158,0.054,0.212
500,200,14000000,8,5,0.159,0.051,0.21
500,200,14000000,8,6,0.153,0.053,0.206
500,200,14000000,8,7,0.179,0.061,0.24
500,200,14000000,8,8,0.156,0.057,0.213
500,200,14000000,8,9,0.149,0.055,0.204
500,200,14000000,8,10,0.15,0.055,0.205
500,200,14000000,16,1,0.177,0.049,0.226
500,200,14000000,16,2,0.149,0.051,0.2
500,200,14000000,16,3,0.164,0.042,0.206
500,200,14000000,16,4,0.158,0.046,0.204
500,200,14000000,16,5,0.153,0.048,0.201
500,200,14000000,16,6,0.154,0.05,0.204
500,200,14000000,16,7,0.152,0.038,0.19
500,200,14000000,16,8,0.152,0.055,0.207
500,200,14000000,16,9,0.173,0.048,0.221
500,200,14000000,16,10,0.151,0.052,0.203
1000,400,14000000,2,1,0.187,0.14,0.327
1000,400,14000000,2,2,0.216,0.133,0.349
1000,400,14000000,2,3,0.204,0.128,0.332
1000,400,14000000,2,4,0.205,0.139,0.344
1000,400,14000000,2,5,0.191,0.139,0.33
1000,400,14000000,2,6,0.196,0.14,0.336
1000,400,14000000,2,7,0.196,0.134,0.33
1000,400,14000000,2,8,0.216,0.131,0.347
1000,400,14000000,2,9,0.196,0.142,0.338
1000,400,14000000,2,10,0.214,0.139,0.353
1000,400,14000000,4,1,0.194,0.087,0.281
1000,400,14000000,4,2,0.194,0.076,0.27
1000,400,14000000,4,3,0.192,0.076,0.268
1000,400,14000000,4,4,0.212,0.071,0.283
1000,400,14000000,4,5,0.219,0.075,0.294
1000,400,14000000,4,6,0.252,0.083,0.335
1000,400,14000000,4,7,0.218,0.077,0.295
1000,400,14000000,4,8,0.192,0.072,0.264
1000,400,14000000,4,9,0.205,0.073,0.278
1000,400,14000000,4,10,0.209,0.076,0.285
1000,400,14000000,8,1,0.232,0.076,0.308
1000,400,14000000,8,2,0.232,0.059,0.291
1000,400,14000000,8,3,0.221,0.054,0.275
1000,400,14000000,8,4,0.238,0.062,0.3
1000,400,14000000,8,5,0.195,0.055,0.25
1000,400,14000000,8,6,0.224,0.088,0.312
1000,400,14000000,8,7,0.211,0.066,0.277
1000,400,14000000,8,8,0.233,0.053,0.286
1000,400,14000000,8,9,0.21,0.053,0.263
1000,400,14000000,8,10,0.194,0.058,0.252
1000,400,14000000,16,1,0.262,0.048,0.31
1000,400,14000000,16,2,0.204,0.049,0.253
1000,400,14000000,16,3,0.194,0.042,0.236
1000,400,14000000,16,4,0.196,0.048,0.244
1000,400,14000000,16,5,0.207,0.056,0.263
1000,400,14000000,16,6,0.218,0.041,0.259
1000,400,14000000,16,7,0.243,0.042,0.285
1000,400,14000000,16,8,0.24,0.046,0.286
1000,400,14000000,16,9,0.201,0.05,0.251
1000,400,14000000,16,10,0.194,0.049,0.243
