Grid_X,Grid_Y,Total_Points,Threads,Iter,Interp,Mover,Total
250,100,14000000,1,1,0.147,0.151,0.298
250,100,14000000,1,2,0.15,0.14,0.29
250,100,14000000,1,3,0.172,0.156,0.328
250,100,14000000,1,4,0.149,0.156,0.305
250,100,14000000,1,5,0.16,0.166,0.326
250,100,14000000,1,6,0.143,0.147,0.29
250,100,14000000,1,7,0.168,0.15,0.318
250,100,14000000,1,8,0.139,0.143,0.282
250,100,14000000,1,9,0.156,0.147,0.303
250,100,14000000,1,10,0.152,0.149,0.301
500,200,14000000,1,1,0.158,0.139,0.297
500,200,14000000,1,2,0.162,0.143,0.305
500,200,14000000,1,3,0.207,0.279,0.486
500,200,14000000,1,4,0.327,0.246,0.573
500,200,14000000,1,5,0.348,0.27,0.618
500,200,14000000,1,6,0.343,0.276,0.619
500,200,14000000,1,7,0.274,0.295,0.569
500,200,14000000,1,8,0.194,0.162,0.356
500,200,14000000,1,9,0.209,0.163,0.372
500,200,14000000,1,10,0.158,0.148,0.306
1000,400,14000000,1,1,0.18,0.146,0.326
1000,400,14000000,1,2,0.205,0.148,0.353
1000,400,14000000,1,3,0.205,0.16,0.365
1000,400,14000000,1,4,0.221,0.155,0.376
1000,400,14000000,1,5,0.206,0.15,0.356
1000,400,14000000,1,6,0.23,0.167,0.397
1000,400,14000000,1,7,0.183,0.165,0.348
1000,400,14000000,1,8,0.217,0.146,0.363
1000,400,14000000,1,9,0.216,0.16,0.376
1000,400,14000000,1,10,0.189,0.173,0.362
