Grid Dimensions,Threads,Total Particles,Iteration,Time (seconds)
500 x 200,2,20000000,1,0.267739
500 x 200,2,20000000,2,0.278799
500 x 200,2,20000000,3,0.267599
500 x 200,2,20000000,4,0.275101
500 x 200,2,20000000,5,0.267110
500 x 200,2,20000000,6,0.266993
500 x 200,2,20000000,7,0.275111
500 x 200,2,20000000,8,0.275551
500 x 200,2,20000000,9,0.274657
500 x 200,2,20000000,10,0.291817
500 x 200,4,20000000,1,0.134829
500 x 200,4,20000000,2,0.134580
500 x 200,4,20000000,3,0.134163
500 x 200,4,20000000,4,0.139008
500 x 200,4,20000000,5,0.143336
500 x 200,4,20000000,6,0.143417
500 x 200,4,20000000,7,0.143353
500 x 200,4,20000000,8,0.143696
500 x 200,4,20000000,9,0.138542
500 x 200,4,20000000,10,0.138401
500 x 200,8,20000000,1,0.073987
500 x 200,8,20000000,2,0.074105
500 x 200,8,20000000,3,0.073803
500 x 200,8,20000000,4,0.074917
500 x 200,8,20000000,5,0.073799
500 x 200,8,20000000,6,0.073815
500 x 200,8,20000000,7,0.074078
500 x 200,8,20000000,8,0.073908
500 x 200,8,20000000,9,0.073954
500 x 200,8,20000000,10,0.074335
500 x 200,16,20000000,1,0.064210
500 x 200,16,20000000,2,0.065510
500 x 200,16,20000000,3,0.065284
500 x 200,16,20000000,4,0.063950
500 x 200,16,20000000,5,0.063905
500 x 200,16,20000000,6,0.066401
500 x 200,16,20000000,7,0.064722
500 x 200,16,20000000,8,0.064111
500 x 200,16,20000000,9,0.065349
500 x 200,16,20000000,10,0.064655
500 x 200,16,20000000,10,0.064655
