Grid Dimensions,Threads,Total Particles,Iteration,Time (seconds)
250 x 100,2,900000,1,0.004278
250 x 100,2,900000,2,0.004138
250 x 100,2,900000,3,0.006256
250 x 100,2,900000,4,0.004287
250 x 100,2,900000,5,0.004857
250 x 100,2,900000,6,0.004411
250 x 100,2,900000,7,0.006366
250 x 100,2,900000,8,0.005312
250 x 100,2,900000,9,0.003899
250 x 100,2,900000,10,0.004148
250 x 100,4,900000,1,0.008780
250 x 100,4,900000,2,0.003892
250 x 100,4,900000,3,0.002379
250 x 100,4,900000,4,0.003616
250 x 100,4,900000,5,0.003293
250 x 100,4,900000,6,0.002617
250 x 100,4,900000,7,0.002293
250 x 100,4,900000,8,0.002185
250 x 100,4,900000,9,0.002083
250 x 100,4,900000,10,0.002318
250 x 100,8,900000,1,0.011866
250 x 100,8,900000,2,0.002114
250 x 100,8,900000,3,0.002171
250 x 100,8,900000,4,0.002280
250 x 100,8,900000,5,0.002130
250 x 100,8,900000,6,0.002080
250 x 100,8,900000,7,0.002449
250 x 100,8,900000,8,0.002198
250 x 100,8,900000,9,0.002113
250 x 100,8,900000,10,0.002110
250 x 100,16,900000,1,0.002531
250 x 100,16,900000,2,0.002102
250 x 100,16,900000,3,0.002363
250 x 100,16,900000,4,0.002422
250 x 100,16,900000,5,0.002408
250 x 100,16,900000,6,0.002380
250 x 100,16,900000,7,0.002360
250 x 100,16,900000,8,0.002335
250 x 100,16,900000,9,0.001926
250 x 100,16,900000,10,0.002310
