Grid Dimensions,Threads,Total Particles,Interpolation Time,Normalization Time,Mover Time,Denormalization Time,Algorithm Time,Voids
250 x 100,1,900000,0.085075,0.000507,0.093390,0.000283,0.179254,1
250 x 100,2,900000,0.045916,0.000348,0.050277,0.000197,0.096738,1
250 x 100,4,900000,0.024311,0.000226,0.027381,0.000121,0.052039,1
250 x 100,8,900000,0.021839,0.000151,0.023019,0.000090,0.045099,1
250 x 100,16,900000,0.023815,0.000855,0.027140,0.000607,0.052416,1
250 x 100,1,5000000,0.439719,0.000566,0.491339,0.000238,0.931862,13
250 x 100,2,5000000,0.224096,0.000317,0.247853,0.000195,0.472461,13
250 x 100,4,5000000,0.116988,0.000215,0.137582,0.000117,0.254902,13
250 x 100,8,5000000,0.118566,0.000161,0.137117,0.000100,0.255944,13
250 x 100,16,5000000,0.101653,0.005235,0.136541,0.001163,0.244592,13
500 x 200,1,3600000,0.343731,0.002342,0.372198,0.001057,0.719329,2
500 x 200,2,3600000,0.169771,0.001355,0.183824,0.000758,0.355708,2
500 x 200,4,3600000,0.095823,0.000770,0.105382,0.000457,0.202432,2
500 x 200,8,3600000,0.091449,0.000520,0.101021,0.000285,0.193274,2
500 x 200,16,3600000,0.086268,0.002203,0.099348,0.000866,0.188685,2
500 x 200,1,20000000,1.946754,0.002418,2.159108,0.001198,4.109478,9
500 x 200,2,20000000,1.021779,0.001492,1.107606,0.000771,2.131648,9
500 x 200,4,20000000,0.532419,0.000814,0.586432,0.000445,1.120111,9
500 x 200,8,20000000,0.489049,0.000535,0.576269,0.002144,1.067998,9
500 x 200,16,20000000,0.404759,0.001990,0.533853,0.006360,0.946962,9
1000 x 400,1,14000000,1.876786,0.009120,1.800466,0.004394,3.690765,1
1000 x 400,2,14000000,0.972348,0.005017,0.867397,0.003236,1.847998,1
1000 x 400,4,14000000,0.581406,0.002610,0.485812,0.001760,1.071589,1
1000 x 400,8,14000000,1.129002,0.002639,0.463453,0.001977,1.597071,1
1000 x 400,16,14000000,1.761557,0.004602,0.403072,0.002405,2.171636,1
